date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2016-11-30,-13169.599949134805,5725.812966886281,0,-9447.706458010543,0,0.0,0.0,-0.47238532290052715,-0.6584799974567402,0.28629064834431406,True
2016-12-28,-6178.777741721754,-1265.009240526767,0,-2456.8842505974935,0,0.0,0.0,-0.12284421252987467,-0.30893888708608774,-0.06325046202633834,True
2017-01-25,9202.438747216558,-16646.225729465077,0,12924.332238340818,0,0.0,0.0,0.6462166119170409,0.4601219373608279,-0.8323112864732538,True
2017-02-22,380.09847613571947,-7823.88545838424,0,4101.99196725998,0,0.0,0.0,0.205099598362999,0.019004923806785975,-0.391194272919212,True
2017-03-22,-15629.65506442505,8185.868082176529,0,-11907.76157330079,0,0.0,0.0,-0.5953880786650395,-0.7814827532212525,0.4092934041088265,True
2017-04-19,-3688.5196211863185,-3755.267361062203,0,33.37386993794212,0,0.0,0.0,0.0016686934968971059,-0.18442598105931593,-0.18776336805311014,True
2017-05-17,-6238.803290050252,-1204.9836921982687,0,-2516.9097989259917,0,0.0,0.0,-0.12584548994629957,-0.3119401645025126,-0.060249184609913436,True
2017-06-14,-11017.336315090099,3573.549332841577,0,-7295.442823965837,0,0.0,0.0,-0.3647721411982919,-0.5508668157545049,0.17867746664207887,True
2017-07-12,-1487.3469718508477,-5956.440010397671,0,2234.546519273412,0,0.0,0.0,0.11172732596367059,-0.07436734859254239,-0.2978220005198836,True
2017-08-09,-1070.5873316774234,-6373.199650571096,0,2651.3061594468363,0,0.0,0.0,0.1325653079723418,-0.053529366583871175,-0.3186599825285548,True
2017-09-06,-4097.252959176738,-3346.534023071783,0,-375.3594680524776,0,0.0,0.0,-0.01876797340262388,-0.2048626479588369,-0.16732670115358916,True
2017-10-04,-8908.167555024484,1464.3805727759627,0,-5186.274063900224,0,0.0,0.0,-0.25931370319501124,-0.4454083777512242,0.07321902863879813,True
